2024-03-16-18-38-54, count:733, damage:-2086
2024-03-16-18-39-49, count:734, damage:-2465
2024-03-16-18-41-06, count:735, damage:-182
2024-03-16-18-41-36, count:736, damage:-175
2024-03-16-18-42-07, count:737, damage:-1988
2024-03-16-18-42-42, count:738, damage:-147
2024-03-16-18-43-14, count:739, damage:-1941
2024-03-16-18-43-54, count:740, damage:-197
2024-03-16-18-44-30, count:741, damage:2868
2024-03-16-18-55-25, count:742, damage:0
2024-03-16-18-56-22, count:743, damage:0
2024-03-16-18-56-53, count:744, damage:-2120
2024-03-16-18-57-27, count:745, damage:-1913
2024-03-16-18-57-58, count:746, damage:-2078
2024-03-16-18-58-29, count:747, damage:-2286
2024-03-16-18-59-09, count:748, damage:-2151
2024-03-16-18-59-40, count:749, damage:-2324
2024-03-16-19-00-40, count:750, damage:-2177
2024-03-16-19-01-47, count:751, damage:-2268
2024-03-16-19-02-57, count:752, damage:2513
2024-03-16-19-04-27, count:753, damage:-2257
2024-03-16-19-05-34, count:754, damage:-190
2024-03-16-19-06-02, count:755, damage:-2155
2024-03-16-19-06-50, count:756, damage:-1895
2024-03-16-19-08-14, count:757, damage:0
2024-03-16-19-08-45, count:758, damage:-1989
2024-03-16-19-09-26, count:759, damage:-2190
2024-03-16-19-10-06, count:760, damage:225
2024-03-16-19-11-01, count:761, damage:-171
2024-03-16-19-11-33, count:762, damage:-2370
2024-03-16-19-12-26, count:763, damage:-953
2024-03-16-19-13-07, count:764, damage:-204
2024-03-16-19-13-35, count:765, damage:-148
2024-03-16-19-14-15, count:766, damage:-135
2024-03-16-19-14-52, count:767, damage:-176
2024-03-16-19-15-21, count:768, damage:-2132
2024-03-16-19-15-54, count:769, damage:-1957
2024-03-16-19-16-36, count:770, damage:-195
2024-03-16-19-17-07, count:771, damage:-2298
2024-03-16-19-17-52, count:772, damage:-2091
2024-03-16-19-18-36, count:773, damage:-199
2024-03-16-19-19-08, count:774, damage:-2314
2024-03-16-19-19-39, count:775, damage:-214
2024-03-16-19-20-11, count:776, damage:-2212
2024-03-16-19-20-48, count:777, damage:-2100
2024-03-16-19-21-23, count:778, damage:-1820
2024-03-16-19-22-17, count:779, damage:-200
2024-03-16-19-22-51, count:780, damage:-2009
2024-03-16-19-23-26, count:781, damage:-1834
2024-03-16-19-24-24, count:782, damage:-2068
2024-03-16-19-25-26, count:783, damage:-836
2024-03-16-19-25-57, count:784, damage:1156
2024-03-16-19-28-02, count:785, damage:2565
2024-03-16-19-29-25, count:786, damage:-1008
2024-03-16-19-30-00, count:787, damage:-964
2024-03-16-19-30-29, count:788, damage:-2048
2024-03-16-19-31-36, count:789, damage:-849
2024-03-16-19-32-08, count:790, damage:-186
2024-03-16-19-32-41, count:791, damage:-948
2024-03-16-19-33-09, count:792, damage:-198
